,Name,Pos,League,Age,90s,TklAtt,TklWon,Tkl_Percentage%,TklWon/90,Def 3rd (Tkl),Mid 3rd (Tkl),Att 3rd (Tkl),TklvsDrib,TklAttvsDrib,Tkl%vsDrib,Past,Succ,Press,Pres%,Succ/90,Def 3rd (Pres),Mid 3rd (Pres),Att 3rd (Pres),Blocks,Blocks/90,ShotBlocked,ShSv,Pass,Int,Int/90,Tkl+Int,Clr,Err,Gls,ShotsTotal,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,PassLive(SCA),PassDead(SCA),Drib(SCA),Sh(SCA),Fld(SCA),Def(SCA),GCA,GCA90,PassLive(GCA),PassDead(GCA),Drib(GCA),Sh(GCA),Fld(GCA),Def(GCA),PassCmp,PassAtt,Cmp%,PassCmp/90,TotDist,PrgDist,PassCmp(Short),PassAtt(Short),Cmp%(Short),PassCmp(Medium),PassAtt(Medium),Cmp%(Medium),PassCmp(Long),PassAtt(Long),Cmp%(Long),Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Recov,HeadersWon,HeadersLost,HeadersAtt,HeadersWon/90,HeadersWon%
1233,Ciro Immobile,FW,Serie A,31.0,30.1,12,9,75.0,0.3,5,2,5,2,16,12.5,14,101,456,22.1,3.4,29,159,268,14,0.5,3,0,11,12,0.4,24,15,0,27,109,50,45.9,3.62,1.66,0.18,0.4,15.0,0,7,9,22.2,15.4,0.14,4.8,4.6,70,2.32,53,0,4,9,2,2,14,0.46,7,0,3,4,0,0,694,886,78.3,23.1,10054,1197,423,501,84.4,179,230,77.8,55,74,74.3,2,3.0,-1.0,26,29,17,2,34,107,18,59,77,0.6,23.4
1235,Danny Ings,FW,Premier League,29.0,21.1,26,11,42.3,0.5,6,14,6,11,28,39.3,17,89,385,23.1,4.2,52,165,168,30,1.4,4,0,26,15,0.7,41,19,0,7,48,17,35.4,2.28,0.81,0.13,0.35,13.3,0,1,1,7.3,6.6,0.14,-0.3,-0.6,31,1.47,24,0,1,4,1,1,8,0.38,8,0,0,0,0,0,258,380,67.9,12.2,3596,892,164,211,77.7,58,91,63.7,19,38,50.0,6,2.0,4.0,16,14,14,3,27,89,23,52,75,1.1,30.7
1239,Lorenzo Insigne,FW,Serie A,30.0,25.4,25,21,84.0,0.8,10,10,5,9,50,18.0,41,107,361,29.6,4.2,103,161,97,33,1.3,1,0,32,40,1.6,65,0,0,11,81,24,29.6,3.18,0.94,0.02,0.08,22.1,12,9,13,15.1,5.2,0.06,-4.1,-3.2,113,4.44,78,19,4,10,1,1,16,0.63,9,3,0,4,0,0,1200,1506,79.7,47.2,22090,5654,583,650,89.7,433,506,85.6,161,290,55.5,8,5.7,2.3,64,75,53,7,126,146,5,10,15,0.2,33.3
1242,Alexander Isak,FW,La Liga,21.0,23.8,14,9,64.3,0.4,2,8,4,3,11,27.3,8,66,259,25.5,2.8,19,81,159,15,0.6,3,0,12,4,0.2,18,8,0,6,71,32,45.1,2.99,1.35,0.06,0.13,15.4,3,2,3,10.9,8.6,0.12,-4.9,-4.6,60,2.52,35,0,9,7,8,1,5,0.21,2,0,1,2,0,0,332,455,73.0,13.9,4761,948,201,247,81.4,96,129,74.4,19,33,57.6,2,3.0,-1.0,19,23,21,2,39,76,31,53,84,1.3,36.9
1246,Hiroki Ito,DF,Bundesliga,22.0,26.1,45,24,53.3,0.9,27,17,1,23,41,56.1,18,95,257,37.0,3.6,140,99,18,58,2.2,23,0,35,72,2.8,117,108,0,1,12,2,16.7,0.46,0.08,0.08,0.5,22.0,0,0,0,0.6,0.6,0.05,0.4,0.4,22,0.84,18,2,0,1,0,1,2,0.08,2,0,0,0,0,0,1493,1827,81.7,57.2,33745,12265,434,476,91.2,749,807,92.8,301,516,58.3,1,1.3,-0.3,13,110,14,1,116,278,60,43,103,2.3,58.3
1249,Alex Iwobi,MFDF,Premier League,25.0,22.6,46,28,60.9,1.2,24,15,7,20,47,42.6,27,153,519,29.5,6.8,182,211,126,45,2.0,4,0,41,40,1.8,86,23,0,2,24,6,25.0,1.06,0.27,0.08,0.33,16.4,0,0,0,1.7,1.7,0.07,0.3,0.3,62,2.74,58,2,0,1,0,1,6,0.27,6,0,0,0,0,0,606,785,77.2,26.8,10137,3650,314,357,88.0,203,259,78.4,65,119,54.6,2,2.8,-0.8,35,58,38,12,79,148,9,36,45,0.4,20.0
1253,Paul Jaeckel,DF,Bundesliga,23.0,22.7,60,35,58.3,1.5,38,21,1,25,50,50.0,25,102,288,35.4,4.5,146,123,19,30,1.3,10,0,20,75,3.3,135,108,1,0,3,0,0.0,0.13,0.0,0.0,0.0,21.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,12,0.53,10,0,0,0,0,2,2,0.09,2,0,0,0,0,0,911,1125,81.0,40.1,20452,7016,238,279,85.3,481,532,90.4,185,284,65.1,0,0.1,-0.1,3,58,2,0,62,243,60,54,114,2.6,52.6
1255,Kristijan Jakić,MF,Bundesliga,24.0,20.9,47,29,61.7,1.4,14,24,9,21,67,31.3,46,157,444,35.4,7.5,105,268,71,41,2.0,7,0,34,29,1.4,76,23,1,1,29,7,24.1,1.39,0.34,0.03,0.14,18.3,0,0,0,2.2,2.2,0.07,-1.2,-1.2,25,1.2,16,0,0,4,4,1,3,0.14,1,0,0,1,1,0,635,844,75.2,30.4,11764,3561,259,326,79.4,284,344,82.6,79,133,59.4,0,0.4,-0.4,5,59,5,2,79,268,38,49,87,1.8,43.7
1260,Daniel James,FWMF,Premier League,23.0,26.3,35,17,48.6,0.6,12,13,10,11,27,40.7,16,149,580,25.7,5.7,87,221,272,24,0.9,2,0,22,19,0.7,54,12,0,4,52,15,28.8,1.98,0.57,0.08,0.27,15.5,0,0,0,5.7,5.7,0.11,-1.7,-1.7,53,2.02,36,0,3,6,7,1,5,0.19,3,0,1,0,1,0,330,508,65.0,12.5,4978,1367,173,226,76.5,116,173,67.1,23,56,41.1,4,2.4,1.6,23,18,20,1,49,123,16,52,68,0.6,23.5
1261,Reece James,DF,Premier League,21.0,20.7,39,23,59.0,1.1,22,14,3,8,25,32.0,17,93,265,35.1,4.5,98,107,60,29,1.4,3,1,26,21,1.0,60,21,0,5,37,10,27.0,1.79,0.48,0.14,0.5,20.4,6,0,0,2.6,2.6,0.07,2.4,2.4,79,3.81,61,8,3,4,3,0,11,0.53,9,1,1,0,0,0,1442,1667,86.5,69.7,24467,6328,717,768,93.4,571,646,88.4,133,192,69.3,9,5.7,3.3,47,74,49,13,120,167,22,24,46,1.1,47.8
1262,Vitaly Janelt,MF,Premier League,23.0,25.5,62,35,56.5,1.4,23,28,11,17,44,38.6,27,145,487,29.8,5.7,128,246,113,43,1.7,8,0,35,44,1.7,106,34,1,4,30,11,36.7,1.17,0.43,0.13,0.36,17.7,0,0,0,2.6,2.6,0.09,1.4,1.4,53,2.08,40,3,2,4,3,1,4,0.16,3,0,0,1,0,0,768,997,77.0,30.1,14522,4409,293,354,82.8,352,426,82.6,96,168,57.1,0,2.2,-2.2,20,77,19,3,96,239,38,28,66,1.5,57.6
1264,Pontus Jansson,DF,Premier League,30.0,36.9,36,25,69.4,0.7,27,8,1,17,36,47.2,19,75,204,36.8,2.0,120,71,13,56,1.5,27,0,29,69,1.9,105,208,2,3,23,10,43.5,0.62,0.27,0.13,0.3,8.2,0,0,0,2.9,2.9,0.13,0.1,0.1,15,0.41,7,0,0,7,1,0,4,0.11,1,0,0,2,1,0,1188,1449,82.0,32.2,25071,6720,330,389,84.8,669,767,87.2,181,268,67.5,1,0.5,0.5,4,35,0,0,53,374,131,82,213,3.6,61.5
1271,Luis Javier Suárez,FW,La Liga,23.0,31.6,26,18,69.2,0.6,5,10,11,6,24,25.0,18,121,453,26.7,3.8,52,188,213,30,0.9,3,0,27,14,0.4,40,22,0,8,86,27,31.4,2.72,0.85,0.09,0.3,16.7,1,0,1,10.8,10.1,0.12,-2.8,-2.1,64,2.03,43,0,7,6,5,3,7,0.22,5,0,0,0,1,1,448,677,66.2,14.2,7412,1445,237,311,76.2,161,237,67.9,39,87,44.8,4,2.5,1.5,26,26,24,9,45,128,62,142,204,2.0,30.4
1277,Gabriel Jesus,FW,Premier League,24.0,20.9,24,12,50.0,0.6,5,6,13,6,25,24.0,19,72,295,24.4,3.4,33,129,133,25,1.2,1,0,24,18,0.9,42,7,0,8,63,21,33.3,3.02,1.01,0.11,0.33,13.2,0,1,1,10.1,9.4,0.15,-2.1,-2.4,78,3.74,52,0,13,7,4,2,18,0.86,11,0,2,1,2,2,638,758,84.2,30.5,9337,1636,356,397,89.7,226,267,84.6,28,40,70.0,8,5.4,2.6,35,18,31,6,53,128,21,41,62,1.0,33.9
1280,Raúl Jiménez,FW,Premier League,30.0,29.2,33,23,69.7,0.8,4,18,11,4,21,19.0,17,108,445,24.3,3.7,41,234,170,36,1.2,8,1,28,19,0.7,52,27,0,6,57,15,26.3,1.95,0.51,0.09,0.33,16.1,1,1,1,6.6,6.1,0.11,-0.6,-1.1,67,2.29,47,1,4,7,5,3,15,0.51,7,0,3,3,1,1,557,779,71.5,19.1,8584,1779,334,430,77.7,156,205,76.1,45,78,57.7,4,2.7,1.3,33,38,18,4,50,121,74,93,167,2.5,44.3
1282,Joelinton,MFFW,Premier League,24.0,28.4,72,44,61.1,1.5,33,28,11,23,56,41.1,33,163,610,26.7,5.7,190,277,143,67,2.4,12,0,55,48,1.7,120,47,1,4,46,14,30.4,1.62,0.49,0.09,0.29,16.9,0,0,0,4.1,4.1,0.09,-0.1,-0.1,64,2.25,44,0,3,8,6,3,6,0.21,4,0,0,1,1,0,745,941,79.2,26.2,11393,2869,415,493,84.2,250,311,80.4,51,73,69.9,1,1.8,-0.8,28,53,19,4,67,241,106,107,213,3.7,49.8
1289,Frenkie de Jong,MF,La Liga,24.0,27.5,35,26,74.3,0.9,7,18,10,6,23,26.1,17,88,315,27.9,3.2,64,175,76,26,0.9,4,0,22,31,1.1,66,19,0,3,17,7,41.2,0.62,0.25,0.18,0.43,13.8,0,0,0,4.5,4.5,0.26,-1.5,-1.5,73,2.65,65,2,1,1,3,1,8,0.29,8,0,0,0,0,0,1511,1680,89.9,54.9,27059,6209,705,759,92.9,584,640,91.3,193,227,85.0,3,3.1,-0.1,40,154,36,2,150,223,32,23,55,1.2,58.2
1291,Joan Jordán,MF,La Liga,27.0,27.9,63,47,74.6,1.7,22,34,7,28,63,44.4,35,139,497,28.0,5.0,151,274,72,30,1.1,6,0,24,43,1.5,106,15,2,0,16,1,6.3,0.57,0.04,0.0,0.0,21.1,1,0,0,0.9,0.9,0.06,-0.9,-0.9,52,1.86,43,4,1,1,2,1,4,0.14,3,0,0,0,1,0,1617,1842,87.8,58.0,31949,6578,655,714,91.7,666,741,89.9,262,324,80.9,1,1.5,-0.5,25,145,22,3,113,257,18,24,42,0.6,42.9
1293,Jorginho,MF,Premier League,29.0,25.3,68,46,67.6,1.8,30,32,6,23,76,30.3,53,175,488,35.9,6.9,176,237,75,35,1.4,6,0,29,60,2.4,128,21,1,6,9,2,22.2,0.36,0.08,0.0,0.0,29.7,0,6,7,5.7,0.4,0.05,0.3,-0.4,60,2.38,52,1,1,2,2,2,8,0.32,8,0,0,0,0,0,1664,1856,89.7,65.8,29444,7066,731,790,92.5,762,823,92.6,144,201,71.6,2,2.8,-0.8,25,160,35,0,140,267,20,30,50,0.8,40.0
1296,Joselu,FW,La Liga,31.0,34.7,17,8,47.1,0.2,0,12,5,6,27,22.2,21,125,460,27.2,3.6,39,193,228,26,0.7,5,0,21,11,0.3,28,47,0,14,90,33,36.7,2.59,0.95,0.09,0.24,18.0,3,6,7,12.4,7.0,0.08,1.6,1.0,71,2.05,47,1,1,11,9,2,9,0.26,6,0,0,1,1,1,687,1122,61.2,19.8,10410,2417,411,568,72.4,214,374,57.2,43,102,42.2,4,4.0,0.0,30,67,18,4,80,163,314,171,485,9.0,64.7
1299,Diogo Jota,FW,Premier League,24.0,26.3,36,21,58.3,0.8,14,15,7,10,47,21.3,37,164,589,27.8,6.2,98,237,254,19,0.7,3,0,16,17,0.6,53,6,0,15,91,33,36.3,3.46,1.26,0.16,0.45,11.8,0,0,0,16.1,16.1,0.18,-1.1,-1.1,87,3.31,58,0,12,4,9,4,14,0.53,7,0,4,1,2,0,568,771,73.7,21.6,9120,2092,284,357,79.6,225,280,80.4,40,69,58.0,4,5.5,-1.5,37,50,31,2,71,141,37,96,133,1.4,27.8
1304,Juanmi,FW,La Liga,28.0,23.7,47,29,61.7,1.2,11,23,13,16,57,28.1,41,120,461,26.0,5.1,117,207,137,28,1.2,3,0,25,17,0.7,64,9,1,16,55,30,54.5,2.32,1.27,0.29,0.53,13.5,0,0,0,11.8,11.8,0.21,4.2,4.2,46,1.94,31,0,6,1,5,3,6,0.25,4,0,1,0,1,0,417,520,80.2,17.6,6592,1551,225,261,86.2,132,156,84.6,37,57,64.9,4,2.5,1.5,19,19,9,4,34,125,27,51,78,1.1,34.6
1307,Hamed Junior Traorè,FWMF,Serie A,21.0,19.7,35,17,48.6,0.9,9,14,12,9,37,24.3,28,91,407,22.4,4.6,104,179,124,26,1.3,4,0,22,25,1.3,60,6,0,7,51,22,43.1,2.59,1.12,0.14,0.32,16.3,0,0,0,4.7,4.7,0.09,2.3,2.3,68,3.45,50,10,6,1,1,0,7,0.35,6,0,1,0,0,0,644,822,78.3,32.7,11380,3349,318,362,87.8,251,298,84.2,66,122,54.1,2,3.2,-1.2,35,62,35,4,94,145,6,16,22,0.3,27.3
1309,Vinicius Júnior,FW,La Liga,21.0,29.9,47,35,74.5,1.2,24,20,3,13,50,26.0,37,152,551,27.6,5.1,139,209,203,29,1.0,3,0,26,14,0.5,61,3,0,17,81,42,51.9,2.71,1.41,0.21,0.4,15.0,0,0,0,13.1,13.1,0.16,3.9,3.9,170,5.69,119,1,21,7,19,3,25,0.84,18,0,3,0,3,1,1090,1299,83.9,36.5,16332,3618,676,755,89.5,321,372,86.3,64,92,69.6,10,7.8,2.2,69,35,67,8,111,130,4,19,23,0.1,17.4
1316,Issa Kaboré,DF,Ligue 1,20.0,25.0,53,30,56.6,1.2,25,23,5,17,43,39.5,26,110,442,24.9,4.4,172,194,76,54,2.2,3,0,51,36,1.4,89,28,0,0,7,2,28.6,0.28,0.08,0.0,0.0,18.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,50,2.0,34,4,5,0,6,1,2,0.08,2,0,0,0,0,0,738,1008,73.2,29.5,12661,5204,381,436,87.4,279,377,74.0,70,128,54.7,1,2.2,-1.2,21,43,36,23,74,154,13,21,34,0.5,38.2
1320,Florian Kainz,MFFW,Bundesliga,28.0,25.8,36,18,50.0,0.7,8,22,6,21,46,45.7,25,94,304,30.9,3.6,71,149,84,43,1.7,3,0,40,51,2.0,87,25,0,4,40,14,35.0,1.55,0.54,0.1,0.29,19.9,5,0,0,3.5,3.5,0.09,0.5,0.5,79,3.06,46,25,2,2,1,3,15,0.58,10,2,0,2,0,1,643,1062,60.5,24.9,13353,4902,235,312,75.3,285,390,73.1,114,307,37.1,4,5.0,-1.0,48,61,44,14,116,192,16,21,37,0.6,43.2
1324,Arnaud Kalimuendo,FW,Ligue 1,19.0,23.9,10,8,80.0,0.3,1,4,5,4,11,36.4,7,93,338,27.5,3.9,21,109,208,8,0.3,1,0,7,8,0.3,18,0,0,12,60,29,48.3,2.51,1.22,0.17,0.34,16.6,0,2,2,9.4,7.9,0.13,2.6,2.1,47,1.97,39,0,3,2,2,1,4,0.17,2,0,1,1,0,0,404,490,82.4,16.9,6019,693,207,247,83.8,157,177,88.7,20,29,69.0,0,2.2,-2.2,23,10,18,3,24,68,8,39,47,0.3,17.0
1330,Pierre Kalulu,DF,Serie A,21.0,21.6,64,34,53.1,1.6,42,17,5,20,26,76.9,6,125,361,34.6,5.8,179,151,31,45,2.1,16,0,29,51,2.4,115,52,0,1,5,2,40.0,0.23,0.09,0.2,0.5,21.5,0,0,0,0.4,0.4,0.08,0.6,0.6,23,1.06,21,0,0,1,1,0,4,0.19,3,0,0,1,0,0,1016,1155,88.0,47.0,20925,6732,309,335,92.2,542,593,91.4,156,206,75.7,2,0.5,1.5,6,51,11,6,58,189,30,37,67,1.4,44.8
1331,Daichi Kamada,MFFW,Bundesliga,24.0,23.8,36,26,72.2,1.1,11,17,8,7,30,23.3,23,121,419,28.9,5.1,82,197,140,27,1.1,1,0,26,19,0.8,55,8,0,4,36,7,19.4,1.51,0.29,0.11,0.57,16.1,0,0,0,4.8,4.8,0.13,-0.8,-0.8,67,2.82,51,4,5,2,3,2,7,0.29,6,0,1,0,0,0,681,865,78.7,28.6,12098,2948,318,380,83.7,276,331,83.4,71,117,60.7,3,2.9,0.1,31,69,22,1,88,173,13,52,65,0.5,20.0
1332,Boubacar Kamara,MFDF,Ligue 1,21.0,30.9,81,55,67.9,1.8,39,37,5,24,52,46.2,28,184,463,39.7,6.0,170,226,67,42,1.4,13,0,29,65,2.1,146,61,0,1,22,3,13.6,0.71,0.1,0.05,0.33,19.5,0,0,0,1.1,1.1,0.05,-0.1,-0.1,44,1.43,34,1,1,3,4,1,2,0.06,0,0,0,1,1,0,2204,2426,90.8,71.3,39803,9050,1028,1084,94.8,868,930,93.3,264,345,76.5,0,1.4,-1.4,19,183,15,3,127,276,51,42,93,1.7,54.8
1336,Kevin Kampl,MF,Bundesliga,30.0,21.1,42,28,66.7,1.3,15,22,5,8,37,21.6,29,126,385,32.7,6.0,103,227,55,25,1.2,6,0,19,39,1.8,81,18,0,0,8,2,25.0,0.38,0.09,0.0,0.0,20.3,0,0,0,0.6,0.6,0.07,-0.6,-0.6,35,1.66,31,1,0,0,2,1,3,0.14,3,0,0,0,0,0,1357,1489,91.1,64.3,23617,5297,573,607,94.4,624,668,93.4,121,157,77.1,1,1.3,-0.3,15,116,21,1,115,188,10,16,26,0.5,38.5
1339,Harry Kane,FW,Premier League,28.0,35.9,19,10,52.6,0.3,3,11,5,8,25,32.0,17,110,378,29.1,3.1,27,150,201,22,0.6,9,1,13,7,0.2,26,38,0,17,131,51,38.9,3.65,1.42,0.1,0.25,16.9,8,4,4,20.1,17.1,0.13,-3.1,-4.1,117,3.26,86,2,10,11,6,2,21,0.58,17,0,1,3,0,0,659,952,69.2,18.4,13093,4065,287,372,77.2,234,314,74.5,120,189,63.5,9,9.0,0.0,49,91,41,8,117,150,95,106,201,2.6,47.3
1341,N'Golo Kanté,MF,Premier League,30.0,19.7,57,34,59.6,1.7,22,22,13,19,38,50.0,19,134,385,34.8,6.8,123,180,82,37,1.9,2,0,35,44,2.2,101,14,0,2,17,9,52.9,0.86,0.46,0.12,0.22,18.6,0,0,0,1.8,1.8,0.11,0.2,0.2,61,3.1,52,0,4,2,0,3,13,0.66,11,0,1,1,0,0,1117,1282,87.1,56.7,18459,4685,569,629,90.5,437,495,88.3,87,111,78.4,4,2.3,1.7,23,101,30,0,117,176,18,19,37,0.9,48.6
1343,Atakan Karazor,MF,Bundesliga,24.0,21.1,48,28,58.3,1.3,15,30,3,16,36,44.4,20,128,424,30.2,6.1,146,238,40,55,2.6,17,0,38,44,2.1,92,55,1,0,9,2,22.2,0.43,0.09,0.0,0.0,25.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,34,1.61,31,0,1,0,1,1,2,0.09,2,0,0,0,0,0,870,1035,84.1,41.2,15950,4203,360,410,87.8,394,438,90.0,99,144,68.8,1,2.1,-1.1,18,64,10,1,74,263,62,42,104,2.9,59.6
1344,Rick Karsdorp,DF,Serie A,26.0,32.0,61,36,59.0,1.1,36,17,8,27,48,56.3,21,96,333,28.8,3.0,147,110,76,29,0.9,5,0,24,53,1.7,114,29,0,0,2,1,50.0,0.06,0.03,0.0,0.0,24.3,0,0,0,0.0,0.0,0.02,0.0,0.0,79,2.47,72,2,3,0,1,1,5,0.16,5,0,0,0,0,0,1501,1831,82.0,46.9,30003,10340,546,616,88.6,723,833,86.8,220,331,66.5,2,4.9,-2.9,41,99,60,22,174,214,7,12,19,0.2,36.8
1353,Michael Keane,DF,Premier League,28.0,31.0,49,35,71.4,1.1,35,12,2,25,43,58.1,18,93,228,40.8,3.0,131,81,16,51,1.6,32,0,19,62,2.0,111,149,2,3,20,6,30.0,0.64,0.19,0.15,0.5,11.9,0,0,0,1.2,1.2,0.06,1.8,1.8,14,0.45,9,2,0,3,0,0,1,0.03,1,0,0,0,0,0,896,1154,77.6,28.9,21069,7053,264,311,84.9,402,473,85.0,221,350,63.1,2,0.6,1.4,4,76,5,0,73,321,121,72,193,3.9,62.7
1354,Ilan Kebbal,MFFW,Ligue 1,23.0,19.7,33,21,63.6,1.1,13,10,10,7,40,17.5,33,106,397,26.7,5.4,107,186,104,19,1.0,0,0,19,19,1.0,52,5,0,1,27,6,22.2,1.37,0.3,0.04,0.17,18.9,0,0,0,1.4,1.4,0.05,-0.4,-0.4,78,3.96,49,8,8,4,5,4,7,0.36,4,1,0,1,1,0,623,840,74.2,31.6,10651,3759,305,378,80.7,220,276,79.7,72,124,58.1,4,3.4,0.6,34,69,42,6,99,138,4,21,25,0.2,16.0
1366,Franck Kessié,MF,Serie A,24.0,25.6,52,34,65.4,1.3,21,25,6,18,30,60.0,12,139,424,32.8,5.4,108,203,113,45,1.8,9,0,36,48,1.9,100,26,0,6,32,8,25.0,1.25,0.31,0.13,0.5,18.2,0,2,3,4.4,2.1,0.07,1.6,1.9,66,2.57,51,1,2,5,2,5,1,0.04,1,0,0,0,0,0,1162,1329,87.4,45.4,21946,5060,464,510,91.0,543,599,90.7,140,187,74.9,0,1.5,-1.5,25,92,18,4,103,246,36,35,71,1.4,50.7
1368,Wahbi Khazri,FWMF,Ligue 1,30.0,24.7,31,20,64.5,0.8,4,17,10,8,31,25.8,23,111,379,29.3,4.5,36,162,181,16,0.6,0,0,16,22,0.9,53,5,0,10,70,18,25.7,2.83,0.73,0.09,0.33,23.3,9,4,4,8.9,5.8,0.08,1.1,0.2,69,2.79,45,5,6,6,6,1,3,0.12,1,0,0,0,1,1,430,622,69.1,17.4,7787,2223,218,264,82.6,130,185,70.3,61,124,49.2,0,3.1,-3.1,32,47,25,4,58,136,16,38,54,0.6,29.6
1369,Rani Khedira,MF,Bundesliga,27.0,30.6,80,51,63.7,1.7,36,34,10,20,50,40.0,30,203,692,29.3,6.6,190,398,104,47,1.5,8,0,39,48,1.6,128,41,0,0,13,2,15.4,0.42,0.07,0.0,0.0,17.8,0,0,0,1.2,1.2,0.09,-1.2,-1.2,22,0.72,16,0,0,2,2,2,2,0.07,2,0,0,0,0,0,697,946,73.7,22.8,12232,3348,307,385,79.7,301,381,79.0,63,125,50.4,1,0.4,0.6,6,56,11,5,63,300,44,45,89,1.4,49.4
1370,Kike,FW,La Liga,31.0,20.7,17,12,70.6,0.6,5,4,8,4,20,20.0,16,88,340,25.9,4.3,29,154,157,14,0.7,3,0,11,10,0.5,27,13,0,5,51,19,37.3,2.47,0.92,0.08,0.21,15.0,0,1,1,7.0,6.2,0.12,-2.0,-2.2,49,2.37,36,0,2,5,4,2,4,0.19,3,0,0,1,0,0,351,517,67.9,17.0,5539,1070,205,275,74.5,96,144,66.7,33,58,56.9,1,2.1,-1.1,20,30,17,4,34,95,82,130,212,4.0,38.7
1372,Luca Kilian,DF,Bundesliga,21.0,25.3,47,24,51.1,0.9,33,13,1,23,47,48.9,24,114,287,39.7,4.5,184,93,10,44,1.7,17,0,27,64,2.5,111,121,2,1,5,2,40.0,0.2,0.08,0.2,0.5,6.2,0,0,0,1.1,1.1,0.21,-0.1,-0.1,10,0.39,8,1,0,0,1,0,2,0.08,1,1,0,0,0,0,1156,1350,85.6,45.7,27043,7499,224,262,85.5,677,726,93.3,243,341,71.3,0,0.2,-0.2,3,68,3,0,63,228,68,53,121,2.7,56.2
1373,Max Kilman,DF,Premier League,24.0,29.9,53,33,62.3,1.1,40,13,0,20,33,60.6,13,92,240,38.3,3.1,159,70,11,52,1.7,21,0,31,64,2.1,117,118,1,1,13,4,30.8,0.44,0.13,0.08,0.25,8.8,0,0,0,1.0,1.0,0.08,0.0,0.0,9,0.3,6,0,1,1,0,1,1,0.03,0,0,0,1,0,0,1279,1476,86.7,42.8,26905,9568,410,449,91.3,655,711,92.1,206,297,69.4,0,0.0,0.0,2,90,3,0,92,238,86,43,129,2.9,66.7
1374,Joshua Kimmich,MF,Bundesliga,26.0,27.5,43,33,76.7,1.2,15,19,9,19,58,32.8,39,177,491,36.0,6.4,143,266,82,48,1.7,8,0,40,64,2.3,107,29,2,3,27,8,29.6,0.98,0.29,0.11,0.38,23.8,0,0,0,2.1,2.1,0.08,0.9,0.9,135,4.91,71,57,1,2,3,1,22,0.8,9,12,0,0,1,0,2199,2585,85.1,80.0,43953,14127,858,923,93.0,934,1045,89.4,366,543,67.4,9,9.2,-0.2,83,218,55,5,268,338,24,22,46,0.9,52.2
1375,Presnel Kimpembe,DF,Ligue 1,25.0,28.6,39,21,53.8,0.7,23,14,2,14,24,58.3,10,54,198,27.3,1.9,99,81,18,27,0.9,16,0,11,54,1.9,93,83,1,1,7,1,14.3,0.24,0.03,0.14,1.0,9.1,0,0,0,0.9,0.9,0.12,0.1,0.1,18,0.63,16,2,0,0,0,0,3,0.1,3,0,0,0,0,0,2170,2242,96.8,75.9,40135,12618,849,870,97.6,1080,1104,97.8,215,233,92.3,0,0.1,-0.1,3,157,5,2,103,203,54,22,76,1.9,71.1
1376,Joshua King,FW,Premier League,29.0,25.0,31,21,67.7,0.8,6,17,8,5,16,31.3,11,134,486,27.6,5.4,69,221,196,21,0.8,5,0,16,12,0.5,43,27,0,5,48,18,37.5,1.92,0.72,0.08,0.22,14.7,0,1,1,8.0,7.2,0.15,-3.0,-3.2,60,2.4,46,0,4,4,5,1,7,0.28,5,0,1,1,0,0,387,524,73.9,15.5,5865,1126,210,261,80.5,146,200,73.0,19,28,67.9,3,3.2,-0.2,35,26,13,2,30,105,93,127,220,3.7,42.3
1377,Jakub Kiwior,MF,Serie A,21.0,21.8,53,25,47.2,1.1,25,20,8,18,49,36.7,31,152,522,29.1,7.0,212,262,48,52,2.4,18,0,34,44,2.0,97,56,0,0,9,4,44.4,0.41,0.18,0.0,0.0,12.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4,15,0.69,12,0,0,1,1,1,2,0.09,2,0,0,0,0,0,549,696,78.9,25.2,10801,2551,202,239,84.5,256,303,84.5,80,122,65.6,0,0.2,-0.2,7,35,2,0,35,195,40,31,71,1.8,56.3
1382,Mateusz Klich,MF,Premier League,31.0,23.0,49,26,53.1,1.1,18,24,7,19,66,28.8,47,150,595,25.2,6.5,178,312,105,24,1.0,6,0,18,31,1.3,80,24,0,1,42,18,42.9,1.82,0.78,0.02,0.06,20.3,0,0,0,2.7,2.7,0.07,-1.7,-1.7,68,2.95,54,3,3,4,3,1,6,0.26,5,0,0,1,0,0,786,1004,78.3,34.2,12287,3652,427,482,88.6,264,331,79.8,57,121,47.1,2,2.2,-0.2,30,69,25,3,93,226,8,20,28,0.3,28.6
1387,Justin Kluivert,MF,Ligue 1,22.0,20.8,24,12,50.0,0.6,11,11,2,5,18,27.8,13,81,336,24.1,3.9,72,176,88,30,1.4,1,0,29,24,1.2,48,5,0,4,30,10,33.3,1.45,0.48,0.13,0.4,17.9,2,0,0,3.3,3.3,0.11,0.7,0.7,62,2.99,33,22,3,2,2,0,8,0.39,4,3,1,0,0,0,450,699,64.4,21.6,8441,2549,216,259,83.4,157,225,69.8,64,171,37.4,5,4.4,0.6,36,27,24,13,47,102,20,17,37,1.0,54.1
