,Name,Pos,League,Age,90s,TklAtt,TklWon,Def 3rd (Tkl),Mid 3rd (Tkl),Att 3rd (Tkl),TklvsDrib,TklAttvsDrib,Tkl%vsDrib,Past,Press,Succ,Pres%,Def 3rd (Pres),Mid 3rd (Pres),Att 3rd (Pres),Blocks,ShotBlocked,ShSv,Pass,Int,Tkl+Int,Clr,Err,Gls,ShotsTotal,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,PassLive(SCA),PassDead(SCA),Drib(SCA),Sh(SCA),Fld(SCA),Def(SCA),GCA,GCA90,PassLive(GCA),PassDead(GCA),Drib(GCA),Sh(GCA),Fld(GCA),Def(GCA),PassCmp,PassAtt,Cmp%,TotDist,PrgDist,PassCmp(Short),PassAtt(Short),Cmp%(Short),PassCmp(Medium),PassAtt(Medium),Cmp%(Medium),PassCmp(Long),PassAtt(Long),Cmp%(Long),Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Recov,HeadersWon,HeadersLost,HeadersWon%,Tkl_Percentage%,TklWon/90,Succ/90,Blocks/90,Int/90,PassCmp/90,HeadersWon/90,HeadersAtt
1294,Lukas Klostermann,DF,Bundesliga,25.0,18.3,35,14,11,22,2,9,17,52.9,8,199,70,35.2,85,82,32,23,3,0,20,41,76,70,0,0,6,1,16.7,0.33,0.05,0.0,0.0,16.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,7,0.38,7,0,0,0,0,0,1,0.05,1,0,0,0,0,0,933,1070,87.2,17250,6004,373,404,92.3,465,507,91.7,88,136,64.7,1,0.3,0.7,3,61,11,1,71,183,26,22,54.2,40.0,0.8,3.8,1.3,2.2,51.0,1.4,48
1295,Justin Kluivert,MF,Ligue 1,22.0,20.8,24,12,11,11,2,5,18,27.8,13,336,81,24.1,72,176,88,30,1,0,29,24,48,5,0,4,30,10,33.3,1.45,0.48,0.13,0.4,17.9,2,0,0,3.3,3.3,0.11,0.7,0.7,62,2.99,33,22,3,2,2,0,8,0.39,4,3,1,0,0,0,450,699,64.4,8441,2549,216,259,83.4,157,225,69.8,64,171,37.4,5,4.4,0.6,36,27,24,13,47,102,20,17,54.1,50.0,0.6,3.9,1.4,1.2,21.6,1.0,37
1296,Lukas Klünter,DF,Bundesliga,25.0,2.2,2,2,1,1,0,2,5,40.0,3,22,8,36.4,9,11,2,2,0,0,2,2,4,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,1.39,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,67,100,67.0,1270,558,27,34,79.4,34,47,72.3,6,16,37.5,0,0.3,-0.3,2,5,5,2,11,22,4,3,57.1,100.0,0.9,3.6,0.9,0.9,30.5,1.8,7
1297,Ansgar Knauff,FWMF,Bundesliga,19.0,1.3,5,2,1,3,1,0,2,0.0,2,32,10,31.3,13,9,10,3,0,0,3,0,5,2,0,0,1,0,0.0,0.79,0.0,0.0,0.0,17.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,4,3.16,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,23,37,62.2,302,80,14,17,82.4,5,11,45.5,2,4,50.0,0,0.1,-0.1,1,1,1,0,2,8,1,3,25.0,40.0,1.5,7.7,2.3,0.0,17.7,0.8,4
1298,Ansgar Knauff,DF,Bundesliga,19.0,8.4,19,9,9,5,5,8,15,53.3,7,155,44,28.4,50,58,47,9,1,0,8,11,30,7,0,1,12,4,33.3,1.42,0.47,0.08,0.25,19.5,0,0,0,0.5,0.5,0.04,0.5,0.5,22,2.61,15,1,1,1,4,0,3,0.36,2,0,0,0,1,0,221,347,63.7,3612,1432,102,149,68.5,99,143,69.2,13,32,40.6,1,1.0,0.0,9,20,8,4,27,70,9,23,28.1,47.4,1.1,5.2,1.1,1.3,26.3,1.1,32
1299,Robin Knoche,DF,Bundesliga,29.0,33.0,45,26,35,10,0,19,41,46.3,22,334,126,37.7,200,118,16,65,31,0,34,81,126,166,4,0,10,4,40.0,0.3,0.12,0.0,0.0,11.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4,16,0.48,15,0,0,0,1,0,1,0.03,1,0,0,0,0,0,1364,1683,81.0,33477,11451,245,293,83.6,724,805,89.9,376,554,67.9,0,0.2,-0.2,4,78,3,1,87,412,93,80,53.8,57.8,0.8,3.8,2.0,2.5,41.3,2.8,173
1300,Robin Koch,MFDF,Premier League,25.0,17.5,31,20,15,11,5,12,36,33.3,24,299,100,33.4,135,131,33,33,11,1,22,34,65,46,0,0,12,1,8.3,0.69,0.06,0.0,0.0,14.8,0,0,0,0.7,0.7,0.06,-0.7,-0.7,18,1.03,16,0,0,1,1,0,1,0.06,1,0,0,0,0,0,531,681,78.0,10668,3199,175,214,81.8,266,316,84.2,79,121,65.3,0,0.5,-0.5,6,33,6,0,37,168,54,47,53.5,64.5,1.1,5.7,1.9,1.9,30.3,3.1,101
1301,Samuel Koeberlé,MF,Ligue 1,16.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,100.0,7,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,inf,,0
1302,Philippe Koffi,FW,Ligue 1,19.0,4.2,5,2,0,5,0,0,3,0.0,3,81,20,24.7,4,38,39,4,1,0,3,3,8,3,0,1,9,2,22.2,2.16,0.48,0.11,0.5,14.3,0,0,0,0.8,0.8,0.09,0.2,0.2,13,3.12,7,0,1,2,3,0,1,0.24,0,0,0,1,0,0,51,80,63.8,694,82,32,42,76.2,9,19,47.4,4,7,57.1,0,0.2,-0.2,4,1,2,0,2,17,8,13,38.1,40.0,0.5,4.8,1.0,0.7,12.1,1.9,21
1303,Dominik Kohr,MF,Bundesliga,27.0,17.9,43,27,19,21,3,14,45,31.1,31,367,115,31.3,102,212,53,32,4,0,28,36,79,25,0,0,18,2,11.1,1.0,0.11,0.0,0.0,20.5,0,0,0,1.2,1.2,0.07,-1.2,-1.2,33,1.84,23,0,2,3,1,4,9,0.5,6,0,0,1,1,1,647,852,75.9,11344,3501,298,366,81.4,274,351,78.1,60,102,58.8,3,1.6,1.4,8,69,10,0,84,229,35,25,58.3,62.8,1.5,6.4,1.8,2.0,36.1,2.0,60
1304,Koba Koindredi,MF,La Liga,19.0,2.0,3,1,2,0,1,1,5,20.0,4,63,13,20.6,20,31,12,4,1,0,3,4,7,4,0,0,1,0,0.0,0.5,0.0,0.0,0.0,32.0,0,0,0,0.0,0.0,0.02,0.0,0.0,4,1.99,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,38,50,76.0,702,212,14,16,87.5,18,25,72.0,4,5,80.0,0,0.1,-0.1,1,3,3,0,4,18,5,6,45.5,33.3,0.5,6.5,2.0,2.0,19.0,2.5,11
1305,Koke,MF,La Liga,29.0,27.9,50,31,14,30,6,20,64,31.3,44,483,158,32.7,153,247,83,35,6,0,29,30,80,33,0,1,12,6,50.0,0.43,0.22,0.08,0.17,25.4,0,0,0,1.0,1.0,0.09,0.0,0.0,54,1.94,46,3,0,1,3,1,7,0.25,7,0,0,0,0,0,1508,1761,85.6,26184,7784,708,754,93.9,613,690,88.8,150,249,60.2,2,1.9,0.1,26,165,27,5,136,231,16,28,36.4,62.0,1.1,5.7,1.3,1.1,54.1,0.6,44
1306,Aleksandr Kokorin,FWMF,Serie A,30.0,0.6,1,0,1,0,0,1,1,100.0,0,11,3,27.3,2,3,6,1,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,26,65.4,277,33,11,16,68.8,4,6,66.7,2,3,66.7,0,0.0,0.0,0,0,0,0,1,1,5,5,50.0,0.0,0.0,5.0,1.7,0.0,28.3,8.3,10
1307,Aleksandar Kolarov,DF,Serie A,35.0,0.5,1,1,1,0,0,1,1,100.0,0,1,0,0.0,1,0,0,0,0,0,0,1,2,1,0,0,1,0,0.0,2.14,0.0,0.0,0.0,29.6,0,0,0,0.0,0.0,0.02,0.0,0.0,1,2.14,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,30,37,81.1,563,235,12,14,85.7,11,14,78.6,5,7,71.4,0,0.0,0.0,0,4,1,0,3,3,1,2,33.3,100.0,2.0,0.0,0.0,2.0,60.0,2.0,3
1308,Sead Kolašinac,DF,Premier League,28.0,1.0,1,1,1,0,0,0,0,0.0,0,12,3,25.0,7,3,2,2,0,0,2,4,5,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,10,13,76.9,167,64,4,4,100.0,5,8,62.5,1,1,100.0,0,0.0,0.0,0,1,0,0,0,2,2,1,66.7,100.0,1.0,3.0,2.0,4.0,10.0,2.0,3
1309,Sead Kolašinac,DF,Ligue 1,28.0,4.9,6,5,3,1,2,4,7,57.1,3,65,23,35.4,22,17,26,4,0,0,4,3,9,7,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,7,1.43,6,1,0,0,0,0,1,0.2,1,0,0,0,0,0,192,246,78.0,3002,855,102,116,87.9,78,103,75.7,8,17,47.1,1,0.2,0.8,4,11,5,2,12,42,7,1,87.5,83.3,1.0,4.7,0.8,0.6,39.2,1.4,8
1310,Randal Kolo Muani,FWMF,Ligue 1,22.0,32.8,28,19,8,9,11,10,27,37.0,17,490,121,24.7,45,202,243,25,6,0,19,14,42,28,0,12,55,26,47.3,1.68,0.79,0.22,0.46,11.3,0,0,0,9.9,9.9,0.18,2.1,2.1,81,2.47,53,1,7,6,13,1,13,0.4,7,0,3,1,2,0,403,601,67.1,5476,1028,251,326,77.0,117,186,62.9,15,34,44.1,4,4.5,-0.5,38,15,15,6,26,147,71,122,36.8,67.9,0.6,3.7,0.8,0.4,12.3,2.2,193
1311,Timothée Kolodziejczak,DF,Ligue 1,29.0,28.5,46,29,19,21,6,15,33,45.5,18,277,104,37.5,128,108,41,45,8,0,37,55,101,83,2,2,15,6,40.0,0.53,0.21,0.13,0.33,11.5,0,0,0,1.9,1.9,0.12,0.1,0.1,35,1.23,31,2,0,2,0,0,4,0.14,3,0,0,1,0,0,1256,1592,78.9,23183,9227,516,578,89.3,571,685,83.4,148,264,56.1,3,1.6,1.4,24,55,21,10,107,274,36,46,43.9,63.0,1.0,3.6,1.6,1.9,44.1,1.3,82
1312,Ghislain Konan,DF,Ligue 1,25.0,26.9,36,19,20,16,0,17,33,51.5,16,234,66,28.2,105,98,31,55,8,0,47,63,99,44,0,1,19,5,26.3,0.71,0.19,0.05,0.2,24.1,0,0,0,0.5,0.5,0.03,0.5,0.5,50,1.86,41,1,4,1,2,1,7,0.26,5,0,2,0,0,0,991,1306,75.9,17399,7793,457,524,87.2,413,508,81.3,103,215,47.9,3,2.7,0.3,30,56,28,16,108,222,15,18,45.5,52.8,0.7,2.5,2.0,2.3,36.8,0.6,33
1313,Ibrahima Konaté,DF,Premier League,22.0,11.0,14,8,6,7,1,3,7,42.9,4,86,23,26.7,44,36,6,15,10,1,5,28,42,47,0,0,4,0,0.0,0.36,0.0,0.0,0.0,9.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,6,0.55,6,0,0,0,0,0,2,0.18,2,0,0,0,0,0,655,728,90.0,13686,4843,171,186,91.9,386,407,94.8,91,120,75.8,0,0.1,-0.1,1,50,5,0,48,128,41,16,71.9,57.1,0.7,2.1,1.4,2.5,59.5,3.7,57
1314,Geoffrey Kondogbia,MFDF,La Liga,28.0,20.9,75,47,24,44,7,19,44,43.2,25,428,152,35.5,142,230,56,27,6,0,21,55,130,31,0,1,15,1,6.7,0.72,0.05,0.07,1.0,24.0,0,0,0,0.5,0.5,0.03,0.5,0.5,23,1.1,19,0,2,0,0,2,4,0.19,3,0,0,0,0,1,880,1008,87.3,17035,4149,379,416,91.1,341,383,89.0,139,180,77.2,2,1.0,1.0,9,70,11,0,71,256,42,29,59.2,62.7,2.2,7.3,1.3,2.6,42.1,2.0,71
1315,Ibrahima Koné,FW,Ligue 1,22.0,8.1,11,6,0,5,6,1,2,50.0,1,127,30,23.6,4,62,61,7,4,0,3,2,13,3,0,5,14,8,57.1,1.72,0.98,0.36,0.63,14.8,0,0,0,2.9,2.9,0.21,2.1,2.1,25,3.07,18,0,0,2,3,2,3,0.37,2,0,0,0,0,1,101,142,71.1,1190,269,73,91,80.2,21,33,63.6,2,9,22.2,1,2.1,-1.1,13,6,4,1,9,26,14,40,25.9,54.5,0.7,3.7,0.9,0.2,12.5,1.7,54
1316,Kouadio Koné,MF,Bundesliga,20.0,24.3,68,45,28,36,4,20,42,47.6,22,500,191,38.2,162,284,54,36,7,0,29,67,135,21,0,2,29,10,34.5,1.2,0.41,0.07,0.2,21.8,1,0,0,1.6,1.6,0.06,0.4,0.4,39,1.61,31,0,3,0,3,2,2,0.08,1,0,0,0,1,0,1047,1190,88.0,17660,5743,507,551,92.0,433,477,90.8,85,118,72.0,0,0.7,-0.7,11,86,11,2,110,244,30,24,55.6,66.2,1.9,7.9,1.5,2.8,43.1,1.2,54
1317,Youssouf Koné,DF,Ligue 1,26.0,10.9,35,17,27,7,1,14,28,50.0,14,135,37,27.4,72,51,12,18,3,0,15,13,48,19,0,0,8,3,37.5,0.73,0.28,0.0,0.0,27.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,10,0.92,9,0,1,0,0,0,1,0.09,1,0,0,0,0,0,335,437,76.7,6382,2660,136,146,93.2,158,188,84.0,40,90,44.4,1,1.0,0.0,8,26,13,6,41,84,3,14,17.6,48.6,1.6,3.4,1.7,1.2,30.7,0.3,17
1318,Ezri Konsa,DF,Premier League,23.0,27.5,26,14,15,10,1,7,13,53.8,6,179,64,35.8,106,60,13,43,22,0,21,45,71,81,2,2,15,6,40.0,0.55,0.22,0.13,0.33,7.0,0,0,0,1.5,1.5,0.1,0.5,0.5,10,0.36,8,0,0,1,0,1,0,0.0,0,0,0,0,0,0,850,971,87.5,16866,5122,261,286,91.3,464,497,93.4,111,166,66.9,0,0.3,-0.3,4,26,0,0,33,183,60,43,58.3,53.8,0.5,2.3,1.6,1.6,30.9,2.2,103
1319,Teun Koopmeiners,MF,Serie A,23.0,23.6,40,24,12,19,9,18,56,32.1,38,417,131,31.4,80,228,109,42,2,0,40,24,64,22,0,4,28,9,32.1,1.19,0.38,0.14,0.44,22.3,2,0,0,2.2,2.2,0.08,1.8,1.8,83,3.51,60,13,6,3,1,0,5,0.21,5,0,0,0,0,0,1185,1482,80.0,23746,7434,453,514,88.1,514,588,87.4,181,315,57.5,1,4.9,-3.9,45,119,36,12,124,228,30,22,57.7,60.0,1.0,5.6,1.8,1.0,50.2,1.3,52
1320,Laurent Koscielny,DF,Ligue 1,35.0,10.4,14,8,6,7,1,6,13,46.2,7,74,25,33.8,47,21,6,24,14,0,10,28,42,42,1,0,1,0,0.0,0.1,0.0,0.0,0.0,6.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1,5,0.48,5,0,0,0,0,0,1,0.1,1,0,0,0,0,0,496,544,91.2,12164,3946,92,99,92.9,268,279,96.1,134,162,82.7,1,0.1,0.9,2,25,0,0,30,82,17,7,70.8,57.1,0.8,2.4,2.3,2.7,47.7,1.6,24
1321,Odilon Kossonou,DF,Bundesliga,20.0,19.9,33,22,20,11,2,14,24,58.3,10,233,83,35.6,122,92,19,54,17,0,37,42,75,63,0,0,4,1,25.0,0.2,0.05,0.0,0.0,13.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,9,0.45,9,0,0,0,0,0,1,0.05,1,0,0,0,0,0,978,1160,84.3,20905,7017,302,329,91.8,485,534,90.8,184,267,68.9,1,0.7,0.3,4,46,4,1,43,170,34,30,53.1,66.7,1.1,4.2,2.7,2.1,49.1,1.7,64
1322,Filip Kostić,DFFW,Bundesliga,28.0,28.0,43,29,25,9,9,15,54,27.8,39,400,123,30.8,138,141,121,33,1,0,32,31,74,17,0,4,52,18,34.6,1.86,0.64,0.08,0.22,23.0,10,0,0,2.8,2.8,0.05,1.2,1.2,130,4.64,68,50,1,8,2,1,12,0.43,7,4,0,1,0,0,1038,1618,64.2,22600,9276,347,443,78.3,478,653,73.2,203,432,47.0,9,9.8,-0.8,89,84,64,44,126,227,17,13,56.7,67.4,1.0,4.4,1.2,1.1,37.1,0.6,30
1323,Rominigue Kouamé,MF,Ligue 1,24.0,33.0,51,32,23,21,7,18,51,35.3,33,586,164,28.0,178,343,65,41,5,0,36,65,116,24,0,1,38,11,28.9,1.15,0.33,0.03,0.09,21.9,1,0,0,2.6,2.6,0.07,-1.6,-1.6,56,1.7,40,1,7,2,4,2,7,0.21,6,0,1,0,0,0,1393,1583,88.0,25125,5442,622,691,90.0,585,644,90.8,157,196,80.1,2,2.0,0.0,20,144,24,5,140,304,19,31,38.0,62.7,1.0,5.0,1.2,2.0,42.2,0.6,50
1324,Kalidou Koulibaly,DF,Serie A,30.0,26.7,60,43,43,12,5,24,43,55.8,19,249,104,41.8,151,87,11,51,28,0,23,40,100,83,0,3,11,7,63.6,0.41,0.26,0.27,0.43,14.3,0,0,0,1.7,1.7,0.16,1.3,1.3,20,0.75,13,0,1,2,1,3,4,0.15,2,0,0,1,0,1,1425,1630,87.4,28135,10750,547,586,93.3,643,695,92.5,214,315,67.9,1,0.5,0.5,8,100,6,0,89,222,49,34,59.0,71.7,1.6,3.9,1.9,1.5,53.4,1.8,83
1325,Jules Koundé,DF,La Liga,22.0,30.4,38,22,26,9,3,17,27,63.0,10,220,82,37.3,116,80,24,41,18,0,23,55,93,114,3,2,14,3,21.4,0.46,0.1,0.14,0.67,10.8,0,0,0,1.2,1.2,0.08,0.8,0.8,34,1.12,30,0,1,1,2,0,2,0.07,2,0,0,0,0,0,1903,2124,89.6,38856,13066,665,708,93.9,922,980,94.1,296,401,73.8,1,1.9,-0.9,15,123,12,4,111,327,91,50,64.5,57.9,0.7,2.7,1.3,1.8,62.6,3.0,141
1326,Christos Kourfalidis,MFDF,Serie A,18.0,0.2,0,0,0,0,0,0,0,0.0,0,7,3,42.9,2,4,1,1,0,0,1,0,0,0,0,0,1,1,100.0,5.0,5.0,0.0,0.0,8.1,0,0,0,0.2,0.2,0.21,-0.2,-0.2,2,10.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,8,12,66.7,150,15,2,3,66.7,5,5,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,0,6,1,1,50.0,0.0,0.0,15.0,5.0,0.0,40.0,5.0,2
1327,Boubakar Kouyaté,DF,Ligue 1,24.0,29.6,98,48,64,33,1,42,80,52.5,38,384,135,35.2,244,126,14,81,37,0,44,99,197,236,1,1,22,5,22.7,0.74,0.17,0.05,0.2,14.1,0,0,0,1.8,1.8,0.08,-0.8,-0.8,12,0.41,7,0,1,3,0,1,0,0.0,0,0,0,0,0,0,935,1116,83.8,21102,5740,207,240,86.3,541,599,90.3,175,246,71.1,0,0.1,-0.1,3,30,1,0,42,256,108,45,70.6,49.0,1.6,4.6,2.7,3.3,31.6,3.6,153
1328,Cheikhou Kouyaté,MF,Premier League,31.0,21.9,60,34,32,26,2,15,34,44.1,19,393,115,29.3,193,177,23,59,17,0,42,45,105,54,0,0,8,0,0.0,0.36,0.0,0.0,0.0,19.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6,17,0.78,14,0,2,0,0,1,1,0.05,1,0,0,0,0,0,657,789,83.3,11232,2837,297,346,85.8,278,327,85.0,61,86,70.9,1,0.7,0.3,4,40,3,1,43,259,56,27,67.5,56.7,1.6,5.3,2.7,2.1,30.0,2.6,83
1329,Mateo Kovačić,MF,Premier League,27.0,17.3,52,40,15,27,10,17,33,51.5,16,379,115,30.3,97,214,68,18,4,0,14,20,72,13,1,2,22,6,27.3,1.27,0.35,0.09,0.33,19.4,1,0,0,1.8,1.8,0.08,0.2,0.2,58,3.35,50,0,2,3,3,0,6,0.35,6,0,0,0,0,0,1065,1193,89.3,19713,4484,451,488,92.4,468,509,91.9,127,166,76.5,5,3.6,1.4,26,120,26,1,113,162,5,9,35.7,76.9,2.3,6.6,1.0,1.2,61.6,0.3,14
1330,Viktor Kovalenko,MF,Serie A,25.0,14.7,17,14,6,9,2,7,22,31.8,15,223,65,29.1,65,101,57,24,4,0,20,15,32,9,0,1,8,2,25.0,0.54,0.14,0.13,0.5,23.0,1,0,0,0.3,0.3,0.03,0.7,0.7,23,1.56,18,3,1,0,1,0,4,0.27,4,0,0,0,0,0,459,601,76.4,8047,1874,220,271,81.2,179,216,82.9,50,88,56.8,3,1.3,1.7,15,30,9,0,45,125,14,20,41.2,82.4,1.0,4.4,1.6,1.0,31.2,1.0,34
1331,Emil Krafth,DF,Premier League,26.0,18.2,39,20,29,9,1,21,39,53.8,18,232,64,27.6,112,95,25,38,10,0,28,48,87,53,0,0,6,1,16.7,0.33,0.06,0.0,0.0,19.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,13,0.72,7,4,1,1,0,0,1,0.06,1,0,0,0,0,0,555,760,73.0,9088,4137,272,308,88.3,212,292,72.6,48,110,43.6,1,0.8,0.2,5,40,8,1,53,142,32,27,54.2,51.3,1.1,3.5,2.1,2.6,30.5,1.8,59
1332,Alex Král,MF,Premier League,23.0,0.0,0,0,0,0,0,0,0,0.0,0,2,2,100.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,2,1,1,50.0,0.0,,inf,,,,inf,2
1333,Andrej Kramarić,FWMF,Bundesliga,30.0,30.1,14,10,1,6,7,3,9,33.3,6,322,74,23.0,25,136,161,15,1,0,14,15,29,6,0,6,93,35,37.6,3.09,1.16,0.06,0.17,15.3,6,0,0,11.5,11.5,0.13,-5.5,-5.5,84,2.79,61,6,3,8,5,1,11,0.37,11,0,0,0,0,0,819,1057,77.5,13079,2951,440,527,83.5,290,364,79.7,57,102,55.9,9,6.3,2.7,38,57,41,10,79,152,20,33,37.7,71.4,0.3,2.5,0.5,0.5,27.2,0.7,53
1334,Christoph Kramer,MF,Bundesliga,30.0,8.3,33,19,17,11,5,13,32,40.6,19,240,80,33.3,91,113,36,18,5,0,13,14,47,20,1,0,3,1,33.3,0.36,0.12,0.0,0.0,14.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,10,1.2,8,0,0,0,1,1,0,0.0,0,0,0,0,0,0,370,467,79.2,6001,1768,188,218,86.2,146,180,81.1,30,47,63.8,0,0.2,-0.2,4,25,5,1,35,107,12,15,44.4,57.6,2.3,9.6,2.2,1.7,44.6,1.4,27
1335,Jean-Philippe Krasso,FW,Ligue 1,24.0,5.0,6,4,0,4,2,3,9,33.3,6,114,37,32.5,11,52,51,7,1,0,6,0,6,1,0,1,12,2,16.7,2.38,0.4,0.08,0.5,10.5,0,0,0,1.6,1.6,0.13,-0.6,-0.6,10,1.99,5,0,2,1,2,0,3,0.6,2,0,0,1,0,0,69,106,65.1,973,251,32,44,72.7,18,27,66.7,7,16,43.8,1,0.6,0.4,4,4,1,1,9,33,18,20,47.4,66.7,0.8,7.4,1.4,0.0,13.8,3.6,38
1336,Julian Kristoffersen,FW,Serie A,24.0,0.1,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,12.86,0.0,0.0,0.0,11.0,0,0,0,0.0,0.0,0.05,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2,50.0,7,5,1,1,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,1,0,0,0,1,2,1,66.7,0.0,0.0,0.0,0.0,0.0,10.0,20.0,3
1337,Toni Kroos,MF,La Liga,31.0,23.4,44,31,14,22,8,22,46,47.8,24,367,100,27.2,102,204,61,13,4,1,9,17,61,11,0,1,46,12,26.1,1.97,0.51,0.02,0.08,23.5,4,0,0,2.0,2.0,0.04,-1.0,-1.0,84,3.59,55,26,2,0,0,1,4,0.17,3,1,0,0,0,0,2076,2258,91.9,43854,12542,820,841,97.5,790,824,95.9,435,548,79.4,3,3.5,-0.5,50,269,41,5,208,136,9,12,42.9,70.5,1.3,4.3,0.6,0.7,88.7,0.4,21
1338,Florian Krüger,FWMF,Bundesliga,22.0,12.5,6,5,1,4,1,2,9,22.2,7,183,54,29.5,27,79,77,19,1,0,18,4,10,14,0,1,18,5,27.8,1.43,0.4,0.06,0.2,18.1,1,0,0,1.4,1.4,0.08,-0.4,-0.4,21,1.67,20,0,0,1,0,0,2,0.16,2,0,0,0,0,0,212,310,68.4,3381,1018,120,151,79.5,64,94,68.1,20,39,51.3,2,1.6,0.4,12,13,16,5,32,68,14,23,37.8,83.3,0.4,4.3,1.5,0.3,17.0,1.1,37
1339,Rade Krunić,MFFW,Serie A,27.0,15.7,32,22,16,13,3,10,32,31.3,22,282,96,34.0,60,159,63,24,2,0,22,21,53,18,0,0,10,2,20.0,0.64,0.13,0.0,0.0,15.1,0,0,0,0.9,0.9,0.09,-0.9,-0.9,38,2.42,29,1,1,3,2,2,4,0.25,1,0,0,2,0,1,478,579,82.6,7227,1748,266,307,86.6,161,192,83.9,28,42,66.7,1,0.9,0.1,17,35,13,1,39,121,29,29,50.0,68.8,1.4,6.1,1.5,1.3,30.4,1.8,58
1340,Max Kruse,FWMF,Bundesliga,33.0,12.5,9,8,4,5,0,3,14,21.4,11,172,48,27.9,25,87,60,7,1,0,6,6,15,6,0,7,19,9,47.4,1.52,0.72,0.26,0.56,17.1,0,2,2,5.1,3.6,0.19,1.9,1.4,26,2.07,21,0,2,2,1,0,3,0.24,2,0,0,0,1,0,366,498,73.5,6682,1256,175,219,79.9,135,174,77.6,48,77,62.3,1,2.0,-1.0,16,20,15,5,40,64,13,24,35.1,88.9,0.6,3.8,0.6,0.5,29.3,1.0,37
1341,Max Kruse,FWMF,Bundesliga,33.0,14.1,6,3,1,1,4,2,12,16.7,10,177,47,26.6,26,71,80,9,0,0,9,9,15,5,0,5,27,8,29.6,1.91,0.57,0.07,0.25,19.5,3,3,3,4.9,2.6,0.1,0.1,-0.6,55,3.9,39,5,2,7,1,1,10,0.71,7,0,0,3,0,0,350,481,72.8,7107,2028,146,179,81.6,141,177,79.7,61,110,55.5,4,3.4,0.6,24,36,25,8,51,69,15,37,28.8,50.0,0.2,3.3,0.6,0.6,24.8,1.1,52
1342,Lukas Kübler,DF,Bundesliga,28.0,25.9,71,32,45,16,10,24,42,57.1,18,313,97,31.0,151,117,45,43,9,1,34,64,135,73,0,2,13,6,46.2,0.5,0.23,0.15,0.33,15.5,0,0,0,1.2,1.2,0.09,0.8,0.8,28,1.08,23,1,0,1,2,1,2,0.08,2,0,0,0,0,0,907,1242,73.0,17981,5821,351,411,85.4,407,512,79.5,136,266,51.1,0,0.9,-0.9,11,67,24,9,95,229,56,45,55.4,45.1,1.2,3.7,1.7,2.5,35.0,2.2,101
